text,label,notes,source,review_status
"How can VAR correct a corner kick, but can’t do the reverse and correct and goal kick that should have been a corner?",hot_take,Opinionated claim without much explicit support.,r/soccer - Colombia vs Congo DR match thread,AI-suggested; student should review
I don't think it's understimation. It's just a lack of passion and energy. Asian & concacaf teams have pride and passion and want to show the world they are good too. Uefa & conmebol don't have to prove anything anymore and think they will make the difference based on talent but it doesn't work like that.,analysis,Structured explanation with reasoning/connectors.,r/worldcup - Europe/South America struggling discussion,AI-suggested; student should review
World Cup My family suffered a tragedy as my youngest brother suffered a T8 spinal cord injury on 6/11. The World Cup has been a good distraction on some of the heavier days. I used to play soccer in college but burned out and stopped engaging with it at all. It’s nice for soccer to be something that lifts me out of the worried thoughts.,analysis,"Uses specific football reasoning, evidence, stats, or match context.",r/worldcup - daily discussion megathread,AI-suggested; student should review
"I've never thought about having a special plinth for my footballs, much to the chagrin of my wife I just keep them on the shoe rack with my dirty boots.",hot_take,Opinionated claim without much explicit support.,r/soccer - Colombia vs Congo DR match thread,AI-suggested; student should review
"Radar looks like there will be a lot of rain between the start of the match and the evening. Looks maybe like it will break up to only a smaller cell around Boston and the more severe stuff will miss. Right now, it doesn't really look like thunderstorms will hit until late in the evening.",hot_take,Opinionated claim without much explicit support.,r/worldcup - daily discussion megathread,AI-suggested; student should review
"Yeah, but our game against Croatia was a cracker. It happens. They won't all be amazing.",hot_take,Opinionated claim without much explicit support.,r/soccer - Panama vs Croatia post-match thread,AI-suggested; student should review
I think Colombia has had pretty good attempts outside of the box trying to avoid going against those 5 defenders. But Mpassi has been pretty good at saving.,analysis,"Uses specific football reasoning, evidence, stats, or match context.",r/soccer - Colombia vs Congo DR match thread,AI-suggested; student should review
Nunca entenderé la obsesión de Cristiansen con Fajardo. García Márquez se basó en cristiansen y fajardo cuando escribio el amor en los tiempos del colera,hot_take,Opinionated claim without much explicit support.,r/soccer - Panama vs Croatia post-match thread,AI-suggested; student should review
"Sure but Idk why people are ignoring glaring issues. They have great fullbacks and great midfield. Everything else is kinda mediocre. Dias is hasn't been that good and the other center back is inexperienced. Attack is not up to par. Ronaldo is old and requires other players to put in effort more. Wingers are mediocre compared to other favorites. Leao was awful this season, others are either in bad form or not good enough. Bernardo is good but he's slow for a winger.",analysis,"Uses specific football reasoning, evidence, stats, or match context.",r/worldcup - Portugal hype discussion,AI-suggested; student should review
Need Colombia to lock in,reaction,Short emotional or immediate match-thread response.,r/soccer - Colombia vs Congo DR match thread,AI-suggested; student should review
I was SO thrilled just now to see that Zlatan (and co) are still on the broadcast and they didn’t switch over to the later team yet!,hot_take,Opinionated claim without much explicit support.,r/worldcup - daily discussion megathread,AI-suggested; student should review
